data,val,Percentage Daily Movement,Percentage Price Change
2021-02-04,58.26,0.009005888465535072,0.9387687188019965
2021-02-05,58.94,0.011671815997253754,0.9613976705490848
2021-02-08,59.59,0.011028164234815119,0.983028286189684
2021-02-09,60.3,0.011914750797113571,1.006655574043261
2021-02-10,60.47,0.002819237147595466,1.012312811980033
2021-02-11,60.55,0.0013229700678021317,1.0149750415973375
2021-02-12,60.79,0.003963666391411991,1.022961730449251
2021-02-15,62.61,0.02993913472610621,1.0835274542429285
2021-02-16,62.49,-0.001916626736942928,1.0795341098169715
2021-02-17,63.06,0.009121459433509393,1.0985024958402663
2021-02-18,63.44,0.00602600697748179,1.1111480865224626
2021-02-19,61.32,-0.03341740226986123,1.0405990016638935
2021-02-22,62.01,0.011252446183952935,1.0635607321131446
2021-02-23,63.73,0.027737461699725907,1.120798668885191
2021-02-24,64.0,0.004236623254354255,1.1297836938435941
2021-02-25,65.42,0.022187500000000027,1.1770382695507489
2021-02-26,64.37,-0.01605013757260776,1.1420965058236274
2021-03-01,64.21,-0.002485629951841095,1.136772046589018
2021-03-02,61.94,-0.03535274879302286,1.0612312811980031
2021-03-03,62.12,0.002906038101388342,1.0672212978369382
2021-03-04,64.23,0.033966516419832615,1.1374376039933447
2021-03-05,67.03,0.04359333644714303,1.2306156405990019
2021-03-08,68.17,0.017007310159629974,1.2685524126455907
2021-03-09,66.38,-0.026257884700014777,1.2089850249584027
2021-03-10,65.6,-0.011750527267249233,1.1830282861896837
2021-03-11,67.39,0.02728658536585371,1.242595673876872
2021-03-12,68.14,0.011129247662857944,1.2675540765391016
2021-03-15,68.18,0.0005870267097154436,1.2688851913477541
2021-03-16,66.89,-0.018920504546787953,1.225956738768719
2021-03-17,66.76,-0.001943489310808677,1.2216306156405992
2021-03-18,64.79,-0.02950868783702809,1.156073211314476
2021-03-19,62.47,-0.035807995060966324,1.0788685524126456
2021-03-22,63.22,0.012005762766127637,1.1038269550748752
2021-03-23,62.27,-0.015026890224612344,1.0722129783693843
2021-03-24,61.61,-0.010599004335956397,1.0502495840266222
2021-03-25,61.63,0.0003246226261970353,1.0509151414309486
2021-03-26,62.56,0.015090053545351312,1.0818635607321132
2021-03-29,62.86,0.004795396419437381,1.091846921797005
2021-03-30,63.37,0.008113267578746308,1.1088186356073209
2021-03-31,63.07,-0.004734101309768035,1.098835274542429
2021-04-01,61.75,-0.020929126367528195,1.054908485856905
2021-04-05,61.68,-0.0011336032388663542,1.0525790349417636
2021-04-06,61.31,-0.0059987029831387595,1.0402662229617305
2021-04-07,60.67,-0.010438753873756368,1.0189683860232945
2021-04-08,61.2,0.008735783748145654,1.0366056572379367
2021-04-09,61.12,-0.0013071895424837665,1.033943427620632
2021-04-12,61.44,0.005235602094240788,1.04459234608985
2021-04-13,61.85,0.006673177083333481,1.0582362728785357
2021-04-14,63.39,0.024898949070331522,1.1094841930116472
2021-04-15,64.48,0.017195141189462193,1.1457570715474212
2021-04-16,65.21,0.01132133995037199,1.1700499168053242
2021-04-19,65.1,-0.0016868578438890003,1.1663893510815306
2021-04-20,65.36,0.0039938556067589115,1.1750415973377704
